Supplier ID,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,
100015,Barchester Healthcare Homes Ltd T/A Cherry Trees Care Centre,51549793,R5806,Residential Care,"-4,614.29",19/09/2019,People Group,
200609,Barjane Ltd,51555398,R2201,Rents & Lettings,"9,125.00",27/09/2019,Resources,
200613,Barnardo Services Ltd (****6716),51552052,R5459,Leaving Care Accommodation,599.20,12/09/2019,People Group,
200619,Barnfield Care Agency,51554099,R5806,Residential Care,"1,260.16",02/09/2019,People Group,
239055,Barwood Homes Ltd,51532179,R5702,Payments to External Contractors,"8,392.00",18/09/2019,Communities,
229039,Bauer Radio Ltd (****2068),51551605,R5802,Substitute Care,"1,166.66",18/09/2019,People Group,
200655,Bedworth Rugby and Nuneaton Citizens Advice Bureau,51554544,R4441,Professional Fees,"33,747.00",05/09/2019,Communities,
200655,Bedworth Rugby and Nuneaton Citizens Advice Bureau,51550817,R5702,Payments to External Contractors,"27,000.00",13/09/2019,Communities,
200655,Bedworth Rugby and Nuneaton Citizens Advice Bureau,51550815,R5702,Payments to External Contractors,"17,212.50",13/09/2019,Communities,
200656,Beechwood Childcare Ltd,51557216,R6106,Early Years Funding (PVIs and LA),"16,105.32",12/09/2019,Communities,
230404,Beechwood Trees & Landscapes Ltd,51550427,R5702,Payments to External Contractors,836.00,11/09/2019,Communities,
210711,Beehive Day Nursery Barford,51557159,R6106,Early Years Funding (PVIs and LA),"10,231.73",12/09/2019,Communities,
200657,Beehive Day Nursery Rugby,51557278,R6106,Early Years Funding (PVIs and LA),"21,826.01",12/09/2019,Communities,
231747,Beehive Nursery Kenilworth,51557312,R6106,Early Years Funding (PVIs and LA),"16,813.57",12/09/2019,Communities,
235777,Belfor UK Ltd,51554371,R2805,Material Damage Insurance Claims,"6,630.61",09/09/2019,Other Services,
232185,Bentley Cook Ltd,51556012,R1101,Agency Staff Pay,"2,400.00",18/09/2019,Resources,
225795,Bentley Systems UK Ltd,51554118,R4512,Software,"5,632.00",27/09/2019,Communities,
233065,Best Start Ltd t/a Tiny Treasures Daycare & Education,51557167,R6106,Early Years Funding (PVIs and LA),"8,731.80",13/09/2019,Communities,
233065,Best Start Ltd t/a Tiny Treasures Daycare & Education,51558071,R6106,Early Years Funding (PVIs and LA),777.63,16/09/2019,Communities,
,Bhf Shops Ltd,25181,,,687.29,11/09/2019,Communities,
239123,Bhylls Acre Primary School,51552930,R6109,Funding payment to Academies and Non WCC Schools,"1,200.00",09/09/2019,Communities,
230921,BID Services,51554137,R4441,Professional Fees,786.00,20/09/2019,People Group,
239505,Bidford Bright Stars Ltd,51557233,R6106,Early Years Funding (PVIs and LA),"11,273.72",12/09/2019,Communities,
239505,Bidford Bright Stars Ltd,51558020,R6106,Early Years Funding (PVIs and LA),777.63,16/09/2019,Communities,
221218,Bidford Health Centre,51561685,R5702,Payments to External Contractors,"1,120.00",30/09/2019,Communities,
221218,Bidford Health Centre,51561622,R5702,Payments to External Contractors,524.58,30/09/2019,Communities,
210919,Biffa Municipal Ltd (****2821),51551961,R5702,Payments to External Contractors,"2,815.68",05/09/2019,Communities,
210919,Biffa Municipal Ltd (****2821),51551960,R5206,Excess / Bulk haulage,"9,296.49",13/09/2019,Communities,
210919,Biffa Municipal Ltd (****2821),51551963,R5206,Excess / Bulk haulage,"5,002.63",13/09/2019,Communities,
210919,Biffa Municipal Ltd (****2821),51551964,R5206,Excess / Bulk haulage,"2,556.04",13/09/2019,Communities,
210919,Biffa Municipal Ltd (****2821),51551965,R5206,Excess / Bulk haulage,"3,641.01",13/09/2019,Communities,
210919,Biffa Municipal Ltd (****2821),51551966,R5206,Excess / Bulk haulage,"6,824.28",13/09/2019,Communities,
210919,Biffa Municipal Ltd (****2821),51551959,R5206,Excess / Bulk haulage,"8,511.56",13/09/2019,Communities,
210919,Biffa Municipal Ltd (****2821),51555079,R3001,Vehicle Operating Costs,630.00,27/09/2019,Communities,
200707,Biffa Waste Services Ltd  ****6375,51556705,R5702,Payments to External Contractors,"308,600.85",11/09/2019,Communities,
200707,Biffa Waste Services Ltd  ****6375,51555450,R2601,Other Building Services,526.50,30/09/2019,Resources,
233719,Bilton Grange Trust Ltd,51557351,R6106,Early Years Funding (PVIs and LA),"4,656.96",12/09/2019,Communities,
213422,Bilton School - Stowe Valley M.A.T.,51559651,R6107,SEN Statements Funding,"3,165.00",20/09/2019,Communities,
205755,Bilton Sunbeams Pre-School Ltd,51557298,R6106,Early Years Funding (PVIs and LA),"3,492.72",12/09/2019,Communities,
205755,Bilton Sunbeams Pre-School Ltd,51558024,R6106,Early Years Funding (PVIs and LA),777.63,16/09/2019,Communities,
200726,Birchwood Pre-School,51551362,R6106,Early Years Funding (PVIs and LA),"1,500.00",03/09/2019,Communities,
200726,Birchwood Pre-School,51557270,R6106,Early Years Funding (PVIs and LA),"39,234.89",12/09/2019,Communities,
200726,Birchwood Pre-School,51558049,R6106,Early Years Funding (PVIs and LA),"3,110.52",16/09/2019,Communities,
218042,Birchwood Primary School (Academy),51559669,R6107,SEN Statements Funding,"1,286.00",20/09/2019,Communities,
200733,Birmingham Women's and Children's NHS Foundation Trust,51554291,R1601,Training,"1,750.00",03/09/2019,People Group,
200748,Bishops Tachbrook Pre-School Nursery,51557303,R6106,Early Years Funding (PVIs and LA),"16,648.63",12/09/2019,Communities,
200751,Bizzy Tots Day Nursery Ltd (Bilton),51557179,R6106,Early Years Funding (PVIs and LA),"12,955.66",12/09/2019,Communities,
200751,Bizzy Tots Day Nursery Ltd (Bilton),51558083,R6106,Early Years Funding (PVIs and LA),"3,110.52",16/09/2019,Communities,
200750,Bizzy Tots Day Nursery Ltd (Long Itchington),51557359,R6106,Early Years Funding (PVIs and LA),"14,530.49",12/09/2019,Communities,
