Supplier,Transno,Amount,Directorate,Pay Date
Asda Superstore,17740,13.02,People,27/07/2021
Asda Superstore,18596,102.02,People,29/07/2021
Asda Superstore,12542,134.97,People,30/07/2021
Asda Superstore,12546,32.41,People,30/07/2021
Aspolice Dfp-K55rz,3140,100.00,Resources,01/07/2021
Atlassian,32323,8.67,Resources,28/07/2021
Avangate Bv,38297,1469.98,Resources,21/07/2021
Axminstertoolsmach,32290,95.03,Communities,22/07/2021
B & Q 1162,31982,450.07,People,15/07/2021
B&m 017 - Bedworth,14678,12.50,Fire and Rescue,02/07/2021
B&m 017 - Bedworth,15319,9.97,Communities,28/07/2021
B&m 468 - Hs Nuneaton,18007,149.98,People,01/07/2021
B&m 468 - Hs Nuneaton,17081,6.63,Fire and Rescue,22/07/2021
B&m 468 - Hs Nuneaton,15539,221.67,People,28/07/2021
B&m 468 - Hs Nuneaton,13739,397.99,People,29/07/2021
B&m 468 - Hs Nuneaton,13743,215.81,People,29/07/2021
B&m 468 - Hs Nuneaton,12582,256.21,People,30/07/2021
B&m 468 - Hs Nuneaton,12586,385.22,People,30/07/2021
Baker Ross,17947,47.38,Resources,02/07/2021
Baker Ross,22050,39.96,Resources,07/07/2021
Baker Ross,17368,77.08,Resources,16/07/2021
Barrier 2 Go,1359,34.00,Fire and Rescue,20/07/2021
Bed Care Ltd,15958,1649.00,People,01/07/2021
Biffa Waste Services L,28188,15.60,People,05/07/2021
Birmingham Register,6026,14.50,Resources,30/07/2021
Boohoo.Com,13537,81.91,People,21/07/2021
Booker Limited Coventr,34361,40.07,People,21/07/2021
Booker Limited Tamwort,32218,67.22,Communities,09/07/2021
Booker Limited Tamwort,32218,113.02,Communities,09/07/2021
Bookerecomm,29856,31.91,Communities,02/07/2021
Bookerecomm,29856,68.51,Communities,02/07/2021
Bookerecomm,646,279.38,Communities,16/07/2021
Bookerecomm,637,44.72,Communities,16/07/2021
Bookerecomm,637,67.02,Communities,16/07/2021
Bookerecomm,550,193.05,Communities,19/07/2021
Bookerecomm,33190,124.99,Resources,20/07/2021
Bookerecomm,34403,133.50,Communities,21/07/2021
Bookerecomm,34394,146.40,Communities,21/07/2021
Bookerecomm,568,16.99,Communities,23/07/2021
Bookerecomm,568,151.57,Communities,23/07/2021
Bookerecomm,26630,93.72,Communities,26/07/2021
Bookerecomm,29967,116.07,Communities,29/07/2021
Bookerecomm,29967,38.99,Communities,29/07/2021
Bookerecomm,29970,144.25,Communities,29/07/2021
Bookerecomm,29970,40.75,Communities,29/07/2021
Bookerecomm,19052,84.77,Resources,30/07/2021
Bookmeetingroom.Com,10918,12.98,Communities,05/07/2021
Boots The Chemist,14043,15.99,People,22/07/2021
Bp Kensington F/Stn,5813,55.81,Fire and Rescue,13/07/2021
British Gas Online,6122,20.00,People,30/07/2021
British Gas Otp,26957,10.00,People,05/07/2021
British Gas Otp,26965,20.00,People,05/07/2021
British Gas Otp,27780,15.00,People,08/07/2021
British Gas Otp,27818,15.00,People,08/07/2021
British Gas Otp,26890,15.00,People,15/07/2021
British Gas Otp,26911,15.00,People,15/07/2021
British Gas Otp,26414,20.00,People,21/07/2021
British Gas Otp,26526,10.00,People,21/07/2021
Broughtonairbus - Hotp,6880,285.71,Fire and Rescue,16/07/2021
Btconsumer Wifirecurri,33026,12.50,Communities,08/07/2021
Btconsumer Wifirecurri,33026,12.50,Communities,08/07/2021
Building & Plumb Supp,3015,402.57,Communities,26/07/2021
Building & Plumb Supp,7233,89.27,Communities,28/07/2021
Buyatab - Aldi,38435,30.00,People,01/07/2021
Caffe Nero Leamington,1278,4.05,People,28/07/2021
Canva* I03130-10300636,36126,71.88,Resources,28/07/2021
Cargo Stop Internation,7697,330.00,Communities,02/07/2021
Cargo Stop Internation,10799,159.00,Communities,08/07/2021
Cartridge Save,19706,58.05,Resources,22/07/2021
Castle Van Hire Ltd,29593,166.67,Communities,12/07/2021
Castle Van Hire Ltd,29593,83.33,Communities,12/07/2021
Castle Van Hire Ltd,29593,83.33,Communities,12/07/2021
Castle Van Hire Ltd,2724,35.62,Communities,13/07/2021
Castle Van Hire Ltd,2724,85.50,Communities,13/07/2021
Castle Van Hire Ltd,2724,35.62,Communities,13/07/2021
Cawood Scientific Ltd,10844,52.00,Communities,15/07/2021
Cbs Conwy Cbc,28873,30.00,Communities,02/07/2021
Central Buildings And,5591,37.50,Communities,06/07/2021
Central Buildings And,3031,137.50,People,19/07/2021
Central Eng Coop,26728,1.70,People,29/07/2021
Chandlers Accounts,10398,386.73,Communities,02/07/2021
Chandlers Accounts,9789,43.44,Communities,27/07/2021
Cipd Integra,23657,190.00,Resources,06/07/2021
Cipd Membership Renewa,12185,138.00,Resources,27/07/2021
City Furniture Hire,14738,625.11,Communities,02/07/2021
Clearabee Limited,1173,89.99,People,26/07/2021
Coffee No 1 Warwick,295,3.33,People,08/07/2021
Companysealsuk.Com,618,60.00,Resources,02/07/2021
Companysealsuk.Com,618,1.60,Resources,02/07/2021
Construction Helpline,27251,50.00,People,19/07/2021
Constructioncert,1890,45.83,Communities,09/07/2021
Co-Op Food Centre,21129,4.68,People,12/07/2021
Co-Op Food Centre,32025,3.25,People,22/07/2021
Co-Op Group 070405,23063,7.67,People,27/07/2021
Co-Operative Food,29432,3.99,Communities,20/07/2021
Costa @ Next 43036125,12725,3.25,People,12/07/2021
Costa Leamington Spa D,8582,3.43,People,12/07/2021
Costa Leamington Spa D,10406,2.95,People,13/07/2021
Costco Wholesale #122,20434,14.99,Fire and Rescue,20/07/2021
County Court,19330,215.00,People,23/07/2021
Cross Country Trains,9063,16.60,People,07/07/2021
Cross Country Trains,9075,10.50,People,07/07/2021
Crossfader Ltd,3376,50.00,People,09/07/2021
Crown Waste Management,1346,200.00,People,15/07/2021
Crowne Plaza,32431,175.24,Fire and Rescue,13/07/2021
Crowne Plaza Hotels,24434,189.00,Fire and Rescue,08/07/2021
Crowne Plaza Hotels,24454,179.00,Fire and Rescue,08/07/2021
Crowne Plaza Hotels,24458,365.80,Fire and Rescue,08/07/2021
Crowne Plaza Hotels,7672,340.95,Fire and Rescue,11/07/2021
Crowne Plaza Hotels,18796,-340.95,Fire and Rescue,12/07/2021
Crowne Plaza Hotels,18808,340.95,Fire and Rescue,12/07/2021
Crowne Plaza Hotels,33347,8.80,Fire and Rescue,15/07/2021
Cs*morrisons Gift Card,1817,10.00,People,09/07/2021
Ctc.Training,656,165.83,Fire and Rescue,27/07/2021
Currys Online,16567,220.00,People,02/07/2021
Currys Online,16304,49.98,Resources,12/07/2021
Currys Online,19729,49.99,People,20/07/2021
D R Caswell Ltd,22055,171.00,Fire and Rescue,22/07/2021
Dawsongroup Material H,25766,407.89,Communities,08/07/2021
Derbyshire Records Off,18155,35.00,Communities,30/07/2021
Dhl Express(UK) Lt,26610,-58.33,Communities,12/07/2021
Dhl Express(UK) Lt,26610,-11.00,Communities,12/07/2021
Disccycle/Leisureout,21585,223.24,People,08/07/2021
Disccycle/Leisureout,19022,5979.30,Communities,20/07/2021
Disccycle/Leisureout,19082,195.82,People,22/07/2021
Dlvr.It,40085,14.52,Resources,06/07/2021
Dnh*go Daddy Europe Gb,7940,54.36,Resources,15/07/2021
Dnh*go Daddy Europe Gb,4541,85.60,Resources,24/07/2021
Dnh*godaddy.Com Europe,24479,23.98,Resources,13/07/2021
Domino S Pizza,6983,26.00,People,30/07/2021
Dominos,8790,23.74,People,16/07/2021
Dreams Ltd,13664,401.58,People,20/07/2021
Duke Of Gloucester,33617,19.33,People,13/07/2021
Dunelm,6684,268.42,People,09/07/2021
Dunelm (Soft Furnishin,21024,53.33,People,21/07/2021
Dunelm (Soft Furnishin,20265,69.33,People,28/07/2021
Dustmasksdirect,829,173.12,Resources,22/07/2021
Dvla Driver Online,32123,34.00,People,01/07/2021
Dvla Driver Online,24450,34.00,People,08/07/2021
Dvla Driver Online,19617,34.00,People,26/07/2021
Dvla Vehicle Tax,33196,32.50,Communities,01/07/2021
Dvla Vehicle Tax,28423,118.00,Communities,14/07/2021
Dvla Vehicle Tax,28483,87.75,Communities,14/07/2021
Dvla Vehicle Tax,22805,277.50,Communities,16/07/2021
Dvla Vehicle Tax,22817,277.50,Communities,16/07/2021
Dvla Vehicle Tax,22821,277.50,Communities,16/07/2021
Dvla Vehicle Tax,22825,277.50,Communities,16/07/2021
Dvla Vehicle Tax,22837,277.50,Communities,16/07/2021
Dvla Vehicle Tax,22841,277.50,Communities,16/07/2021
Dvla Vehicle Tax,22853,157.50,Communities,16/07/2021
Dvla Vehicle Tax,22865,157.50,Communities,16/07/2021
Dvsa,6432,205.00,Communities,06/07/2021
Dvsa,9498,100.00,Communities,14/07/2021
E.On Energy Solutions,17346,61.67,Communities,21/07/2021
Eb *connecting The Dot,31385,36.00,People,16/07/2021
Eb *creating A Sustain,29539,6.25,Communities,26/07/2021
Eb *creating A Sustain,29539,3.12,Communities,26/07/2021
Eb *creating A Sustain,29539,3.12,Communities,26/07/2021
Eb *dhrs Being An Effe,35626,80.00,People,22/07/2021
Eb *practice Forum Re,32202,40.00,People,12/07/2021
Eb *reviewing Domestic,35623,100.00,People,22/07/2021
Eden Co Uk,21761,11.69,People,08/07/2021
Ee Ltd,25642,22.79,Communities,19/07/2021
Ee Store R523,33124,25.00,People,21/07/2021
Ee Store R523,33132,25.00,People,21/07/2021
Ee Store R523,27625,25.00,People,28/07/2021
Ee Store R523,27661,25.00,People,28/07/2021
Ee Store R523,27689,25.00,People,28/07/2021
Enterprise Rent,9328,27.11,People,31/07/2021
Enterprise Rent A Car,15746,32.26,People,02/07/2021
Enterprise Rent A Car,15979,-200.00,Fire and Rescue,13/07/2021
Enterprise Rent A Car,18292,200.00,Fire and Rescue,13/07/2021
Enterprise Rent A Car,18292,340.70,Fire and Rescue,13/07/2021
Enterprise Rent A Car,4225,29.96,People,17/07/2021
Enterprise Rent A Car,9734,32.46,People,20/07/2021
Enterprise Rent A Car,9737,37.46,People,20/07/2021
Enterprise Rent A Car,9740,28.96,People,20/07/2021
Enterprise Rent A Car,4603,55.91,People,24/07/2021
Enterprise Rent A Car,4606,37.85,People,24/07/2021
Enterprise Rent A Car,9098,45.74,People,28/07/2021
Enterprise Rent A Car,9101,47.24,People,28/07/2021
Enterprise Rent A Car,9319,24.71,People,31/07/2021
Enterprise Rent A Car,9322,29.71,People,31/07/2021
Enterprise Workwear Lt,11695,49.90,Communities,07/07/2021
Enviroment Agency,15606,947.25,Communities,19/07/2021
Esri (UK) Limited,7357,327.00,Resources,26/07/2021
Euroffice.Co.Uk,9147,136.00,Communities,23/07/2021
Euroffice.Co.Uk,9155,87.52,Communities,23/07/2021
Expresstest.Co.Uk,9988,160.00,People,15/07/2021
Facebk *5xp2u6kep2,14510,127.15,Resources,31/07/2021
Facebk *7f8kz6pep2,29083,825.90,Resources,26/07/2021
Firefighter Protection,995,103.70,Fire and Rescue,13/07/2021
Flickr Pro Monthly,41216,6.49,Resources,08/07/2021
"Formstack, Llc",35898,71.52,Resources,29/07/2021
