Supplier,Transno,Amount,Directorate,Pay Date
Gcc - Registrars,15374,15.85,People,24/06/2021
Gen Register Office,8286,11.00,Resources,02/06/2021
Gen Register Office,7493,22.00,Resources,04/06/2021
Gen Register Office,12935,-11.00,Resources,04/06/2021
Gen Register Office,10750,11.00,People,10/06/2021
Gen Register Office,12500,14.00,People,22/06/2021
Gen Register Office,15226,11.00,People,24/06/2021
Gen Register Office,12063,14.00,People,29/06/2021
Gen Register Office,12823,11.00,Resources,30/06/2021
Geocentrix Ltd,10332,480.00,Communities,21/06/2021
Gh Pearman,27088,20.41,Communities,11/06/2021
Gls Educational Su,23126,194.82,Resources,28/06/2021
Go Outdoors,30335,79.17,Fire and Rescue,24/06/2021
Gooddies Limited,28079,28.90,Resources,02/06/2021
Google *ads2789853021,36014,500.00,Resources,29/06/2021
Google *cloud_015ba7-B,29579,89.13,Resources,02/06/2021
Google Ads2789853021,29702,500.00,Resources,02/06/2021
Google Ads2789853021,40334,500.00,Resources,10/06/2021
Group For Ed In Museum,918,106.00,Resources,24/06/2021
Halfords On Line,17775,25.00,Fire and Rescue,10/06/2021
Highspeedtraining.Co.U,16429,324.00,People,14/06/2021
Hiq Coventry,11152,610.00,Communities,11/06/2021
Hm Land Registry - Onl,6919,6.00,Communities,02/06/2021
Hm Land Registry - Onl,12033,6.00,Fire and Rescue,17/06/2021
Hm Passport Office,7456,75.50,People,14/06/2021
Hm Passport Office,9839,75.50,People,15/06/2021
Hm Passport Office,10874,75.50,People,28/06/2021
Hmcourts-Service.G,25291,75.00,People,10/06/2021
Hmcourts-Service.G,32917,75.00,People,24/06/2021
Hmcourts-Service.G,29800,75.00,People,28/06/2021
Hobbycraft,9704,165.71,Communities,01/06/2021
Hobbycraft,11176,7.92,People,02/06/2021
Hobbycraft,9428,7.50,People,04/06/2021
Hobbycraft,16472,16.10,People,22/06/2021
Home Bargains,10682,59.98,Fire and Rescue,08/06/2021
