Trans No,Supplier,Amount,Directorate,Pay Date
24809,Bookerecomm,162.04,Communities,13/08/2021
29169,Bookerecomm,55.77,Resources,17/08/2021
22682,Bookerecomm,71.95,Communities,20/08/2021
22682,Bookerecomm,120.38,Communities,20/08/2021
29165,Bookerecomm,54.37,Resources,25/08/2021
22494,Bookerecomm,128.01,Communities,27/08/2021
22494,Bookerecomm,79.49,Communities,27/08/2021
35536,Bookmeetingroom.Com,15.43,Communities,05/08/2021
5468,British Gas Online,30.00,People,13/08/2021
27277,British Gas Otp,20.00,People,12/08/2021
7907,British Gas Otp,20.00,People,30/08/2021
8108,British Red Cross,151.20,People,10/08/2021
20519,Bt.Com Business Bp,182.14,People,16/08/2021
18958,Btconsumer Wifirecurri,25.00,Communities,09/08/2021
30443,Budget Skip Services L,233.33,Fire and Rescue,05/08/2021
70,Building & Plumb Supp,329.45,Communities,05/08/2021
2733,Building & Plumb Supp,335.03,Communities,11/08/2021
1122,Building & Plumb Supp,350.80,Communities,17/08/2021
1547,Caffe Nero Leamington,3.50,People,02/08/2021
1934,Caffe Nero Leamington,3.37,People,12/08/2021
1144,Caffe Nero Nuneaton,5.52,People,17/08/2021
1105,Caffe Nero Nuneaton,4.00,People,18/08/2021
27442,Canva* I03139-12852188,99.99,Communities,06/08/2021
13258,Carpetright,241.73,Resources,04/08/2021
26580,Carpetwise,250.00,Resources,03/08/2021
21089,Castaways,5.05,People,17/08/2021
9395,Cawood Scientific Ltd,50.00,Communities,04/08/2021
9853,Cawood Scientific Ltd,150.00,Communities,19/08/2021
4363,Chase Meadow Opticians,147.10,People,09/08/2021
14607,Cipd Integra,163.00,Resources,02/08/2021
13882,Cjs Events Warwickshir,60.00,Communities,05/08/2021
10375,Coleman Milne,297.00,Communities,03/08/2021
22244,Companies House,13.00,Resources,13/08/2021
31292,Coombe Abbey Hotel,65.00,People,11/08/2021
14813,Co-Op Group 070405,11.25,People,27/08/2021
23598,Co-Op Late Shop,1.00,People,05/08/2021
23602,Co-Op Late Shop,4.80,People,05/08/2021
21719,Co-Op Late Shop,4.58,People,12/08/2021
12049,Costa @ Next 43039545,6.24,People,12/08/2021
18831,Costa Coffee,5.75,People,10/08/2021
10525,Costa Coffee 43040920,3.29,People,23/08/2021
12668,Costa Coffee 43044225,4.05,People,18/08/2021
12052,Costa Coffee 43044395,4.87,People,12/08/2021
12812,Costa Coffee 43044395,5.86,People,19/08/2021
11231,Costa Coffee 43044395,5.57,People,31/08/2021
7797,Costa Coffee Rugby 2,5.19,People,04/08/2021
8585,Costa Leamington Spa D,3.45,People,09/08/2021
9265,Costa Leamington Spa D,3.33,People,16/08/2021
8145,Costa Leamington Spa D,3.85,People,23/08/2021
16049,Costco Wholesale #122,74.14,People,12/08/2021
29087,Costcutter Rugby,1.00,People,03/08/2021
8771,Countryside Jobs Servi,90.00,Communities,16/08/2021
8835,Countryside Jobs Servi,-15.00,Communities,16/08/2021
20452,Coventry City Council,150.63,People,10/08/2021
487,Crown Waste Management,125.00,Resources,04/08/2021
6571,Cs*morrisons Gift Card,15.00,People,27/08/2021
16141,Currys Online,316.66,People,03/08/2021
16530,Currys Online,237.48,People,05/08/2021
17069,Currys Online,208.32,People,11/08/2021
17073,Currys Online,208.32,People,11/08/2021
13504,Currys Online,249.99,People,13/08/2021
14510,Currys Online,104.96,Fire and Rescue,16/08/2021
16787,Currys Online,224.99,People,17/08/2021
13437,Currys Online,414.00,People,23/08/2021
13613,Currys Pc World,219.99,People,19/08/2021
13617,Currys Pc World,19.99,People,19/08/2021
13621,Currys Pc World,299.00,People,19/08/2021
358,Cvaa UK Ltd,99.00,People,18/08/2021
19500,D R Caswell Ltd,5.78,Fire and Rescue,05/08/2021
19500,D R Caswell Ltd,126.00,Fire and Rescue,05/08/2021
6691,Decathlon UK Limited,38.94,People,06/08/2021
10273,Disclosure & Barring,13.00,Communities,06/08/2021
27430,Dlvr.It,14.42,Resources,06/08/2021
10778,Dominos,13.32,People,12/08/2021
21106,Dvla Driver Online,34.00,People,12/08/2021
27227,Dvla Driver Online,20.00,People,17/08/2021
15569,Dvla Driver Online,34.00,People,27/08/2021
30098,Dvla Vehicle Tax,282.50,Communities,11/08/2021
27211,Dvla Vehicle Tax,32.50,Communities,17/08/2021
27219,Dvla Vehicle Tax,277.50,Communities,17/08/2021
27223,Dvla Vehicle Tax,167.50,Communities,17/08/2021
27231,Dvla Vehicle Tax,562.50,Communities,17/08/2021
27239,Dvla Vehicle Tax,277.50,Communities,17/08/2021
27243,Dvla Vehicle Tax,277.50,Communities,17/08/2021
27251,Dvla Vehicle Tax,157.50,Communities,17/08/2021
9984,E.On Energy Solutions,30.00,People,17/08/2021
25012,Eagle House Hotel,85.71,People,04/08/2021
30842,Eb *integrated Care Sy,155.00,Communities,31/08/2021
32732,Eb *refund To Buyer,3.00,Communities,25/08/2021
33278,Ebay O*05-07458-29867,3.29,Communities,11/08/2021
33275,Ebay O*05-07458-29868,4.16,Communities,11/08/2021
31634,Ebay O*14-07511-91416,63.85,Communities,24/08/2021
27106,Ebay O*15-07447-44611,63.71,People,09/08/2021
1321,Ecosystems Knowledge N,35.00,Communities,31/08/2021
12166,Enterprise Rent,34.22,People,02/08/2021
15114,Enterprise Rent,-34.22,People,02/08/2021
12965,Enterprise Rent,41.07,People,06/08/2021
14730,Enterprise Rent,34.22,People,12/08/2021
3596,Enterprise Rent,34.22,People,14/08/2021
3599,Enterprise Rent,-68.45,People,14/08/2021
15084,Enterprise Rent A Car,32.46,People,04/08/2021
14991,Enterprise Rent A Car,59.30,People,05/08/2021
12633,Enterprise Rent A Car,29.71,People,13/08/2021
15443,Enterprise Rent A Car,29.71,People,17/08/2021
10626,Enterprise Rent A Car,-57.71,People,20/08/2021
10629,Enterprise Rent A Car,43.71,People,20/08/2021
10632,Enterprise Rent A Car,43.71,People,20/08/2021
12061,Enterprise Rent A Car,29.71,People,24/08/2021
12335,Enterprise Rent A Car,54.92,People,27/08/2021
9639,Enterprise Workwear Lt,24.95,Communities,04/08/2021
13030,Enviroment Agency,111.50,Communities,31/08/2021
29840,Esso Stoneycroft Sstn,8.35,Fire and Rescue,25/08/2021
32744,Etsy,65.00,People,05/08/2021
28780,Facebk *vtrhe8fep2,700.00,Resources,23/08/2021
30257,Facebk *xtzpn7kep2,269.51,Resources,31/08/2021
14294,Falfield Store And Pos,8.48,People,19/08/2021
4729,Farol,46.38,Communities,14/08/2021
23863,Fat Boys Grub,6.13,People,11/08/2021
10039,Flickr Pro Monthly,6.49,Resources,08/08/2021
23762,Floors 4 Less,250.00,Resources,02/08/2021
10374,Food4wildbirds-Dom,140.00,Communities,18/08/2021
9238,"Formstack, Llc",72.38,Resources,29/08/2021
6325,Franklins Sandwich,81.75,Fire and Rescue,18/08/2021
3275,Galleon Sup,87.75,Communities,09/08/2021
3279,Galleon Sup,99.50,Communities,09/08/2021
17042,Gardening Naturally,18.06,People,05/08/2021
12457,Gen Register Office,22.00,Resources,06/08/2021
11908,Gen Register Office,14.00,People,09/08/2021
10593,Gen Register Office,18.00,People,10/08/2021
14672,Gen Register Office,14.00,People,17/08/2021
12459,Gen Register Office,14.00,People,23/08/2021
19611,Gentworks Limited,119.00,Communities,31/08/2021
6741,Giffgaff,24.17,People,18/08/2021
12535,Gloucestershire.Gov.Uk,11.00,Resources,18/08/2021
12168,Gloucestershire.Gov.Uk,11.00,Resources,24/08/2021
2145,Good One Express,2.58,People,03/08/2021
8178,Google *cloud_015ba7-B,65.68,Resources,01/08/2021
9242,Google Ads2789853021,488.26,Resources,22/08/2021
547,Govnet Events,345.00,Resources,27/08/2021
17177,Gsproducts.Co.Uk,21.95,Communities,25/08/2021
13762,Halfords 0574,151.67,Fire and Rescue,05/08/2021
13579,Halfords On Line,27.50,People,10/08/2021
10496,Hayley Group Plc,133.65,Communities,10/08/2021
10500,Hayley Group Plc,100.68,Communities,10/08/2021
1267,Haymarket Media Group,1896.00,Resources,05/08/2021
19035,Heartland Ford,116.66,Fire and Rescue,02/08/2021
24906,Highstreetvouchers,100.00,Resources,19/08/2021
26992,Hillfields Halal Meat,35.00,People,31/08/2021
10403,Hm Passport Office,49.00,People,05/08/2021
10404,Hm Passport Office,75.50,People,10/08/2021
8699,Hm Passport Office,80.50,People,17/08/2021
9170,Hm Passport Office,49.00,People,23/08/2021
9174,Hm Passport Office,49.00,People,23/08/2021
9178,Hm Passport Office,49.00,People,23/08/2021
9186,Hm Passport Office,49.00,People,23/08/2021
9396,Hm Passport Office,75.50,People,25/08/2021
18034,Hm Passport Office,75.50,People,26/08/2021
23592,Hmcourts-Service.G,20.00,Resources,16/08/2021
23636,Hmcourts-Service.G,75.00,People,16/08/2021
26599,Hmcourts-Service.G,75.00,People,18/08/2021
28863,Hmcourts-Service.G,292.00,People,25/08/2021
8910,Home Bargains,9.44,People,12/08/2021
6471,Home Bargains,3.32,Fire and Rescue,23/08/2021
35330,Hootsuite Media Inc.,5208.33,Resources,24/08/2021
8986,Hotel At Booking.Com,3425.00,People,07/08/2021
26697,Hotel At Booking.Com,216.67,People,09/08/2021
27687,Hotel At Booking.Com,-21.67,People,09/08/2021
27211,Hotel At Booking.Com,128.57,People,09/08/2021
28304,Hotel At Booking.Com,578.33,People,23/08/2021
31266,Hotel At Booking.Com,79.00,People,26/08/2021
15504,Hotel Chocolat Ltd,48.62,Resources,19/08/2021
11557,Hotel Chocolat Ltd,16.21,Resources,27/08/2021
30311,Hotel On Booking.Com,70.00,People,31/08/2021
19838,Hr Cafe,282.60,Communities,31/08/2021
14952,Hsd Online,29.99,Communities,16/08/2021
17349,Hyndburn Borough Counc,173.67,People,20/08/2021
22906,Ikea Ltd 142 Birmingha,818.75,Communities,20/08/2021
22909,Ikea Ltd 142 Birmingha,521.67,Communities,20/08/2021
22912,Ikea Ltd 142 Birmingha,8.14,Communities,20/08/2021
