Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
214538,Aspire Sports Health & Fitness Ltd,51232937,R4433,SCHOOLS ONLY Sport Instruction,967.27,14/07/2017,Schools
214538,Aspire Sports Health & Fitness Ltd,51233218,R4433,SCHOOLS ONLY Sport Instruction,678.6,14/07/2017,Schools
229691,Associate Development Solutions Ltd,51231444,R4409,Consultancy,2665,13/07/2017,People Group
208290,Atherstone Surgery (Dr Maher & Partners),51253792,R5702,Payments to External Contractors,3080,31/07/2017,Communities
208290,Atherstone Surgery (Dr Maher & Partners),51253816,R5702,Payments to External Contractors,761.1,31/07/2017,Communities
208290,Atherstone Surgery (Dr Maher & Partners),51254031,R5702,Payments to External Contractors,786.87,31/07/2017,Communities
200502,Atkins Ltd  t/a Faithful Gould,51245517,R4409,Consultancy,1365,06/07/2017,Communities
200502,Atkins Ltd  t/a Faithful Gould,51230053,R4409,Consultancy,6785,07/07/2017,Communities
200502,Atkins Ltd  t/a Faithful Gould,51238219,C1050,External Fees,21346,13/07/2017,Capital
200502,Atkins Ltd  t/a Faithful Gould,51246633,R1101,Agency Staff Pay,2143.5,13/07/2017,Communities
200502,Atkins Ltd  t/a Faithful Gould,51241148,R1101,Agency Staff Pay,1792,13/07/2017,Communities
200502,Atkins Ltd  t/a Faithful Gould,51245351,R1101,Agency Staff Pay,93226.69,13/07/2017,Communities
200502,Atkins Ltd  t/a Faithful Gould,51246636,R1101,Agency Staff Pay,52220.12,20/07/2017,Communities
200502,Atkins Ltd  t/a Faithful Gould,51245543,R1101,Agency Staff Pay,4376.68,20/07/2017,Communities
200502,Atkins Ltd  t/a Faithful Gould,51243195,R1101,Agency Staff Pay,3892.03,20/07/2017,Communities
200502,Atkins Ltd  t/a Faithful Gould,51243036,R1101,Agency Staff Pay,4579.44,20/07/2017,Communities
200502,Atkins Ltd  t/a Faithful Gould,51243036,R1101,Agency Staff Pay,3887.41,20/07/2017,Communities
200502,Atkins Ltd  t/a Faithful Gould,51243028,R1101,Agency Staff Pay,2718.32,20/07/2017,Communities
200502,Atkins Ltd  t/a Faithful Gould,51248941,R1101,Agency Staff Pay,12075.62,20/07/2017,Communities
200502,Atkins Ltd  t/a Faithful Gould,51248921,R1101,Agency Staff Pay,3606.21,20/07/2017,Communities
