Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group,
206227,The Warwickshire Golf & Country Club,51580207,R2201,Rents & Lettings,"1,162.50",27/11/2019,People,
206227,The Warwickshire Golf & Country Club,51572720,R2201,Rents & Lettings,"1,033.33",29/11/2019,People,
206229,The Willow Tree Nursery School Bidford Ltd,51576553,R6106,Early Years Funding (PVIs and LA),"1,990.72",15/11/2019,Communities,
206229,The Willow Tree Nursery School Bidford Ltd,51576907,R6106,Early Years Funding (PVIs and LA),837.94,19/11/2019,Communities,
206231,The Woodlands Day Nursery,51576506,R6106,Early Years Funding (PVIs and LA),"8,028.93",15/11/2019,Communities,
206232,The Wow Awards Ltd,51568208,R4441,Professional Fees,"4,630.00",21/11/2019,Resources,
209809,Thomson Reuters (****2067),51577455,R4058,"Books, Newspapers & Publications","19,252.48",18/11/2019,Resources,
100023,Thurlaston Meadows Care Home Ltd,51568788,R5806,Residential Care,"2,333.68",15/11/2019,People,
100023,Thurlaston Meadows Care Home Ltd,51568761,R5806,Residential Care,"2,107.84",19/11/2019,People,
100023,Thurlaston Meadows Care Home Ltd,51568780,R5806,Residential Care,"2,107.84",19/11/2019,People,
220162,Tiny Toes Pre-School,51576359,R6106,Early Years Funding (PVIs and LA),"3,011.71",15/11/2019,Communities,
220162,Tiny Toes Pre-School,51576933,R6106,Early Years Funding (PVIs and LA),"4,053.20",19/11/2019,Communities,
206281,Tiny Tots Nursery (Nuneaton) Ltd,51576391,R6106,Early Years Funding (PVIs and LA),"5,410.44",15/11/2019,Communities,
206282,Tiny Town Nursery,51576411,R6106,Early Years Funding (PVIs and LA),"14,649.24",15/11/2019,Communities,
206282,Tiny Town Nursery,51576945,R6106,Early Years Funding (PVIs and LA),"3,681.84",19/11/2019,Communities,
209807,TLET t/a Ashlawn School Academy Trust,51580069,R6107,SEN Statements Funding,"7,391.00",22/11/2019,Communities,
216118,TLET t/a Henry Hinde Infant School,51580022,R6107,SEN Statements Funding,"4,185.00",22/11/2019,Communities,
223680,TLET t/a Henry Hinde Junior School,51580050,R6107,SEN Statements Funding,"2,045.00",22/11/2019,Communities,
207882,Tmc Design Concept Ltd,51573377,R5702,Payments to External Contractors,"3,725.00",22/11/2019,Communities,
221828,TMP (UK) Ltd,51570039,R4441,Professional Fees,"1,510.00",21/11/2019,Resources,
221828,TMP (UK) Ltd,51571934,R4441,Professional Fees,"19,470.00",22/11/2019,Resources,
,Tom White Waste Ltd,7635,,,"1,000.00",18/11/2019,Communities,
202217,Tommies Childcare Ltd,51576555,R6106,Early Years Funding (PVIs and LA),"15,997.26",15/11/2019,Communities,
202217,Tommies Childcare Ltd,51576526,R6106,Early Years Funding (PVIs and LA),"3,326.40",15/11/2019,Communities,
202217,Tommies Childcare Ltd,51576402,R6106,Early Years Funding (PVIs and LA),"11,857.30",15/11/2019,Communities,
202217,Tommies Childcare Ltd,51576952,R6106,Early Years Funding (PVIs and LA),"3,332.70",19/11/2019,Communities,
239569,Top Mark Ltd,51559201,R2002,Building Maintenance,595.00,29/11/2019,Schools,
,Total Gas & Power,34006,,,"1,347.87",13/11/2019,Communities,
206314,Total Gas & Power Ltd,51567210,R2102,Energy Costs,984.98,08/11/2019,Communities,
206314,Total Gas & Power Ltd,51572393,R5702,Payments to External Contractors,"16,763.85",08/11/2019,Communities,
206314,Total Gas & Power Ltd,51572402,R5702,Payments to External Contractors,"17,666.30",08/11/2019,Communities,
206314,Total Gas & Power Ltd,51572407,R5702,Payments to External Contractors,"80,947.38",08/11/2019,Communities,
206314,Total Gas & Power Ltd,51572409,R5702,Payments to External Contractors,"3,532.84",08/11/2019,Communities,
206314,Total Gas & Power Ltd,51567765,R2102,Energy Costs,"6,711.77",08/11/2019,Communities,
206314,Total Gas & Power Ltd,51568791,R2102,Energy Costs,663.15,08/11/2019,Resources,
206314,Total Gas & Power Ltd,51568807,R2102,Energy Costs,"1,086.66",08/11/2019,Resources,
206314,Total Gas & Power Ltd,51568812,R2102,Energy Costs,521.89,08/11/2019,Resources,
206314,Total Gas & Power Ltd,51568813,R2102,Energy Costs,"1,696.41",08/11/2019,Resources,
206314,Total Gas & Power Ltd,51568816,R2102,Energy Costs,"2,723.89",08/11/2019,Resources,
206314,Total Gas & Power Ltd,51568821,R2102,Energy Costs,"1,263.36",08/11/2019,Resources,
206314,Total Gas & Power Ltd,51568866,R2102,Energy Costs,718.65,08/11/2019,Resources,
206314,Total Gas & Power Ltd,51569087,R2102,Energy Costs,621.40,08/11/2019,Resources,
206314,Total Gas & Power Ltd,51569108,R2102,Energy Costs,"1,324.99",08/11/2019,Resources,
206314,Total Gas & Power Ltd,51569115,R2102,Energy Costs,"4,350.29",08/11/2019,Resources,
206314,Total Gas & Power Ltd,51569118,R2102,Energy Costs,659.37,08/11/2019,Resources,
206314,Total Gas & Power Ltd,51569119,R2102,Energy Costs,784.85,08/11/2019,Resources,
206314,Total Gas & Power Ltd,51570368,R2102,Energy Costs,568.80,08/11/2019,Resources,
206314,Total Gas & Power Ltd,51570386,R2102,Energy Costs,717.65,08/11/2019,Resources,
206314,Total Gas & Power Ltd,51570398,R2102,Energy Costs,859.17,08/11/2019,Resources,
206314,Total Gas & Power Ltd,51572289,R2102,Energy Costs,778.65,08/11/2019,Schools,
206314,Total Gas & Power Ltd,51569056,R2102,Energy Costs,848.45,08/11/2019,Schools,
206314,Total Gas & Power Ltd,51572465,R2102,Energy Costs,526.56,08/11/2019,Schools,
206314,Total Gas & Power Ltd,51568474,R2102,Energy Costs,804.44,08/11/2019,Schools,
206314,Total Gas & Power Ltd,51567661,R2102,Energy Costs,898.65,08/11/2019,Schools,
206314,Total Gas & Power Ltd,51568764,R2102,Energy Costs,959.76,08/11/2019,Resources,
206314,Total Gas & Power Ltd,51568768,R2102,Energy Costs,619.38,08/11/2019,Resources,
206314,Total Gas & Power Ltd,51568773,R2102,Energy Costs,"15,151.29",08/11/2019,Resources,
206314,Total Gas & Power Ltd,51568775,R2102,Energy Costs,624.74,08/11/2019,Resources,
206314,Total Gas & Power Ltd,51568778,R2102,Energy Costs,729.50,08/11/2019,Resources,
206314,Total Gas & Power Ltd,51568779,R2102,Energy Costs,"2,877.48",08/11/2019,Resources,
206314,Total Gas & Power Ltd,51568781,R2102,Energy Costs,"2,225.71",08/11/2019,Resources,
206314,Total Gas & Power Ltd,51567206,R2102,Energy Costs,702.85,13/11/2019,Communities,
206314,Total Gas & Power Ltd,51581309,R2102,Energy Costs,600.36,25/11/2019,People,
206318,Touch Broadcasting Ltd (Touch Fm),51572571,R4301,"Advertising, Publicity & Promotion","4,640.00",07/11/2019,Resources,
206292,Traffic Management & Safety Ltd t/a TMS Consultancy,51565427,R1601,Training,730.00,06/11/2019,Communities,
206345,Translation World Ltd,51573911,R4441,Professional Fees,960.08,13/11/2019,Resources,
206345,Translation World Ltd,51573892,R4441,Professional Fees,990.70,13/11/2019,Resources,
206353,Tree Tops Montessori Nursery,51576450,R6106,Early Years Funding (PVIs and LA),"10,589.46",15/11/2019,Communities,
206353,Tree Tops Montessori Nursery,51576862,R6106,Early Years Funding (PVIs and LA),666.54,19/11/2019,Communities,
209400,Treesense,51564006,R1601,Training,"1,100.00",01/11/2019,Communities,
206354,Trend Control Systems Ltd,51573896,C1030,"New Construction, Conversion & Renovation","1,142.80",21/11/2019,Capital,
206357,Triangle Nurseries,51576556,R6106,Early Years Funding (PVIs and LA),"9,398.34",15/11/2019,Communities,
206371,Triple P UK Ltd,51573688,R1601,Training,"2,457.95",06/11/2019,People,
212499,TTS Group Ltd,51566162,R4024,Furniture,859.80,01/11/2019,Schools,
,Tudor Environmental,59304,,,558.18,26/11/2019,Communities,
221745,Tudor Grange Academies Trust,51576366,R6106,Early Years Funding (PVIs and LA),"15,301.44",15/11/2019,Communities,
228511,Turley,51559220,C1030,"New Construction, Conversion & Renovation","1,534.20",19/11/2019,Capital,
100211,Turning Point Services Ltd *TPS* (****5581)(VAT),51571622,R5807,Social Care Block Contracts,"10,664.00",22/11/2019,People,
230389,Tutors & Exams,51579445,R4607,Client Expenses,"1,320.00",29/11/2019,Communities,
228911,Twinkl Ltd,51578574,R4702,Subscriptions To Organisations,683.30,22/11/2019,Schools,
