unique_property_reference_number,unique_asset_id,name_of_building_land_or_both,street_number_or_numbers,street_name,postal_town,uk_postcode,easting,northing,tenure,tenure_characteristics,land_only,size_of_asset,size_units,effective_service_delivery_government_services_function,reason_for_holding_asset,localism_act,total_building_operation_costs,required_maintenance_costs,suitability_rating,energy_performance_dec_rating
"100071502019","3037","Dunchurch Highways Sub-Depot","Withheld","Withheld","Withheld","CV22",0,0,"Freehold","Vacant","Land with a permanent building",2136.43,"Sq.m","Government, citizens and rights","To Follow","n/a","Not Currently Available",621424.74,"Not Currently Available","n/a"
"100071237955","3039","Hospital Farm","","Churchover Lane","Harborough Magna","CV23 0HH",449069,279909,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",1511.94,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",153061.93,"Not Currently Available","n/a"
"100071237956","3040","Hospital Farm Cottage","","Churchover Lane","Harborough Magna","CV23 0HH",449080,279911,"Freehold","Part or Wholly let out on a Leasehold or Licence","Land with a permanent building",109.93,"Sq.m","Environmental protection","To Follow","n/a","Not Currently Available",9974.16,"Not Currently Available","n/a"
"100071503284","3042","Leamington Hastings CE Infant School (Academy)","","Birdingbury Road","Hill","CV23 8EA",445260,267070,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",451.48,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",66276.43,"Not Currently Available","F"
"100071399622","3044","Long Lawford Primary School","","Holbrook Road","Long Lawford","CV23 9AL",447560,276090,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",2569.46,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",616034.32,"Not Currently Available","C"
"100071502365","3047","The Revel C.E. (Aided) Primary School","","Brockhurst Lane","Monks Kirby","CV23 0RA",446750,283050,"Freehold","Occupied by the Local Authority","Land with a permanent building",1771.05,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",307923.01,"Not Currently Available","E"
"10010517091","3049","Former Willey Landfill & Treatment Plant","","Lutterworth Road","Monks Kirby","CV23 0QW",449950,282650,"Freehold","Occupied by the Local Authority","Land only",1.87,"Hectares","Government, citizens and rights","To Follow","n/a","Not Currently Available",0.00,"Not Currently Available","n/a"
"100071399702","3051","The Avon Valley School & Performing Arts College","","Newbold Road","Rugby","CV21 1EH",449490,276550,"Other","Vested in Trustees","Land with a permanent building",11486.89,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",381513.79,"Not Currently Available","E"
"100071399704","3052","The Riverside Academy","","Newbold Road","Rugby","CV21 1EH",449340,276730,"Freehold","Part or Wholly let out on Leasehold or Licence","Land with a permanent building",2028.52,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",435497.77,"Not Currently Available","C"
"100071503681","3057","Our Lady's Catholic Primary School","","Leamington Road","Princethorpe","CV23 9PU",440010,270910,"Freehold","Occupied by the Local Authority","Land with a permanent building",703.06,"Sq.m","Education and learning","To Follow","n/a","Not Currently Available",148071.15,"Not Currently Available","C"
