SOA Code,SOA Name,Ward Name,Locality,District/Borough,JSA Claimants June 2008,JSA Claimants June 2009,Working Age Population,JSA Claimant Count Rate June 2008,JSA Claimant Count Rate June 2009
E01031296,Knowle Hill & Glasshouse,Park Hill,Kenilworth ,Warwick,16,33,1168,1.4%,2.8%
E01031297,Ladyes Hills & Mill End West,Park Hill,Kenilworth ,Warwick,21,31,1205,1.7%,2.6%
E01031298,Whitemoor,Park Hill,Kenilworth ,Warwick,10,23,934,1.1%,2.5%
E01031299,Glass House & Windy Arbour,Park Hill,Kenilworth ,Warwick,#,13,852,#VALUE!,1.5%
E01031300,Mill End East & Crackley,Park Hill,Kenilworth ,Warwick,5,18,1051,0.5%,1.7%
E01031301,Offchurch & Hunningham,Radford Semele,Warwick Rural ,Warwick,7,15,897,0.8%,1.7%
E01031302,Radford Semele,Radford Semele,Warwick Rural ,Warwick,4,26,662,0.6%,3.9%
E01031303,Town Centre South,St John's,Kenilworth ,Warwick,8,19,873,0.9%,2.2%
E01031304,Borrowell,St John's,Kenilworth ,Warwick,12,18,811,1.5%,2.2%
E01031305,Thickthorn & Castle End,St John's,Kenilworth ,Warwick,4,7,759,0.5%,0.9%
E01031306,St John's Playing Fields,St John's,Kenilworth ,Warwick,7,12,930,0.8%,1.3%
E01031307,Castle End & Windy Arbour,St John's,Kenilworth ,Warwick,3,14,805,0.4%,1.7%
E01031308,Stoneleigh,Stoneleigh,Warwick Rural/Kenilworth,Warwick,10,26,2319,0.4%,1.1%
E01031309,Emscote,Warwick North,Warwick ,Warwick,25,48,939,2.7%,5.1%
E01031310,Woodloes South East & Spinney Hill South,Warwick North,Warwick ,Warwick,17,24,799,2.1%,3.0%
E01031311,Emscote & Spinney Hill North East,Warwick North,Warwick ,Warwick,24,40,741,3.2%,5.4%
E01031312,Wedgenock & Woodloes West,Warwick North,Warwick ,Warwick,14,33,822,1.7%,4.0%
E01031313,Woodloes North,Warwick North,Warwick ,Warwick,11,20,938,1.2%,2.1%
E01031314,Woodloes East,Warwick North,Warwick ,Warwick,5,16,913,0.5%,1.8%
E01031315,"Warwick Gates North, Tachbrook Park & Myton South",Warwick South,Warwick ,Warwick,14,23,1332,1.1%,1.7%
E01031316,"St Nicholas Park, Myton & Emscote South",Warwick South,Warwick ,Warwick,10,32,868,1.2%,3.7%
E01031317,"Bridge End, Castle & Stratford Rd East",Warwick South,Warwick ,Warwick,3,19,781,0.4%,2.4%
E01031318,Warwick Gates,Warwick South,Warwick ,Warwick,12,28,1448,0.8%,1.9%
E01031319,Emscote Lawns,Warwick South,Warwick ,Warwick,16,36,1207,1.3%,3.0%
E01031320,The Moorings and Myton North,Warwick South,Warwick ,Warwick,15,33,969,1.5%,3.4%
E01031321,Packmores West & The Cape,Warwick West,Warwick ,Warwick,28,57,847,3.3%,6.7%
E01031322,The Cape & Wedgenock,Warwick West,Warwick ,Warwick,17,35,967,1.8%,3.6%
E01031323,"Priory Park, Packmores & Hospital",Warwick West,Warwick ,Warwick,10,33,931,1.1%,3.5%
E01031324,Town Centre & Racecourse,Warwick West,Warwick ,Warwick,19,46,1225,1.6%,3.8%
E01031325,Warwick West East,Warwick West,Warwick ,Warwick,20,19,922,2.2%,2.1%
E01031326,Kings Meadow & Longbridge,Warwick West,Warwick ,Warwick,19,50,1492,1.3%,3.4%
E01031327,Whitnash North,Whitnash,South Leamington & Whitnash ,Warwick,29,45,913,3.2%,4.9%
E01031328,Whitnash East & Millponds,Whitnash,South Leamington & Whitnash ,Warwick,20,51,1230,1.6%,4.1%
E01031329,Whitnash West,Whitnash,South Leamington & Whitnash ,Warwick,14,44,1588,0.9%,2.8%
E01031330,Whitnash St Margarets,Whitnash,South Leamington & Whitnash ,Warwick,17,35,1021,1.7%,3.4%
E01031331,Whitnash South,Whitnash,South Leamington & Whitnash ,Warwick,11,11,1155,1.0%,1.0%
E01031332,Sydenham West,Willes,South Leamington & Whitnash ,Warwick,33,55,991,3.3%,5.5%
E01031333,Sydenham North,Willes,South Leamington & Whitnash ,Warwick,32,61,1016,3.1%,6.0%
E01031334,Sydenham South & East,Willes,South Leamington & Whitnash ,Warwick,18,44,1103,1.6%,4.0%
E01031335,Old Town North,Willes,South Leamington & Whitnash ,Warwick,12,30,1139,1.1%,2.6%
E01031336,Old Town North West,Willes,South Leamington & Whitnash ,Warwick,33,54,1428,2.3%,3.8%
E01031337,Old Town East & Sydenham Ind. Est.,Willes,South Leamington & Whitnash ,Warwick,22,34,1096,2.0%,3.1%
