Supplier id,Supplier Name,Transno,Account,Description,Amount,Pay Date,Group
200502,Atkins Ltd  t/a Faithful Gould,51439012,C1050,External Fees,13816.50,20/09/2018,Capital
200502,Atkins Ltd  t/a Faithful Gould,51431310,C1050,External Fees,1138.71,20/09/2018,Capital
200502,Atkins Ltd  t/a Faithful Gould,51431533,C1050,External Fees,6972.00,21/09/2018,Capital
200502,Atkins Ltd  t/a Faithful Gould,51431564,C1050,External Fees,10308.00,21/09/2018,Capital
200502,Atkins Ltd  t/a Faithful Gould,51431537,C1050,External Fees,1825.00,21/09/2018,Capital
200502,Atkins Ltd  t/a Faithful Gould,51431547,C1050,External Fees,5140.00,21/09/2018,Capital
200502,Atkins Ltd  t/a Faithful Gould,51440060,R1101,Agency Staff Pay,1399.03,24/09/2018,Communities
200502,Atkins Ltd  t/a Faithful Gould,51440064,R1101,Agency Staff Pay,2615.40,24/09/2018,Communities
200502,Atkins Ltd  t/a Faithful Gould,51440199,R5702,Payments to External Contractors,4147.88,25/09/2018,Communities
200502,Atkins Ltd  t/a Faithful Gould,51440044,R1101,Agency Staff Pay,53893.90,25/09/2018,Communities
200502,Atkins Ltd  t/a Faithful Gould,51440025,R4409,Consultancy,5189.95,25/09/2018,Communities
200502,Atkins Ltd  t/a Faithful Gould,51440180,R5702,Payments to External Contractors,3878.40,25/09/2018,Communities
200502,Atkins Ltd  t/a Faithful Gould,51440026,R1101,Agency Staff Pay,16924.88,27/09/2018,Communities
200502,Atkins Ltd  t/a Faithful Gould,51440054,R1101,Agency Staff Pay,158248.68,28/09/2018,Communities
200505,ATS Euromaster Ltd,51427674,R3004,Repair & Maintenance Of Vehicles,12491.33,07/09/2018,Communities
200505,ATS Euromaster Ltd,51434899,R3004,Repair & Maintenance Of Vehicles,6929.12,28/09/2018,Communities
230013,Atwal News Ltd,51433400,R4058,"Books, Newspapers & Publications",1023.40,28/09/2018,Resources
200516,Austrey Pre School,51440651,R6106,Early Years Funding (PVIs and LA),3143.45,25/09/2018,Communities
200516,Austrey Pre School,51440829,R6106,Early Years Funding (PVIs and LA),1036.84,25/09/2018,Communities
221151,Avon Healthcare Ltd t/a Avon Pharmacy,51438666,R5702,Payments to External Contractors,676.00,19/09/2018,Communities
216249,Avonside Health Centre,51440773,R5702,Payments to External Contractors,500.10,28/09/2018,Communities
233756,AXCIS Education,51435418,R1101,Agency Staff Pay,590.00,10/09/2018,Communities
233756,AXCIS Education,51436543,R1101,Agency Staff Pay,1325.00,12/09/2018,Communities
233756,AXCIS Education,51435414,R1101,Agency Staff Pay,1325.00,12/09/2018,Communities
233756,AXCIS Education,51429705,R1101,Agency Staff Pay,6861.00,14/09/2018,Communities
213427,Aylesford School And Sixth Form College (Academy),51434676,R6109,Funding payment to Academies and Non WCC Schools,32930.00,07/09/2018,Communities
213427,Aylesford School And Sixth Form College (Academy),51438914,R6107,SEN Statements Funding,4508.00,21/09/2018,Communities
200554,B H M Compak Radiators,51432561,R4030,Materials,650.00,27/09/2018,Communities
236538,Babcock LDP,51431445,R5702,Payments to External Contractors,9446.00,21/09/2018,Communities
200575,Baddesley and Grendon Pre/School - Playgroup,51439863,R6106,Early Years Funding (PVIs and LA),6490.64,24/09/2018,Communities
200575,Baddesley and Grendon Pre/School - Playgroup,51440840,R6106,Early Years Funding (PVIs and LA),1555.26,25/09/2018,Communities
200576,Badenoch & Clark Ltd,51433945,R1101,Agency Staff Pay,1809.00,05/09/2018,People Group
200576,Badenoch & Clark Ltd,51433948,R1101,Agency Staff Pay,2175.00,05/09/2018,Resources
200576,Badenoch & Clark Ltd,51434536,R1101,Agency Staff Pay,1207.50,07/09/2018,Resources
200576,Badenoch & Clark Ltd,51436526,R1101,Agency Staff Pay,875.00,14/09/2018,Resources
