For Entry In,Area,Name of School,PAN,Total Offered,Breakdown
2009,North,Polesworth International Language College,200,224,"All On Time Applicants in criteria 1, 2, 3, 4 and 5 to a distance of 2.419"
2009,North,Queen Elizabeth School,163,129,All Applicants Offered. 
2009,Nun & Bed,Alderman Smith School and Sports College,240,193,All Applicants Offered.
2009,Nun & Bed,Ash Green School,170,136,All Applicants Offered. 
2009,Nun & Bed,Etone Community School and Technology College,150,150,"All On Time Applicants in criteria 1, 2, 3, 4 and 5 to a distance of 0.898"
2009,Nun & Bed,George Eliot Community School A Business and Enterprise College,190,132,All Applicants Offered. 
2009,Nun & Bed,Hartshill School,210,207,All Applicants Offered. 
2009,Nun & Bed,Higham Lane School A Business and Enterprise College,238,238,"All On Time Applicants in criteria 1, 2, 3, 4 and 5 to a distance of 1.791"
2009,Nun & Bed,Manor Park Community School,150,71,All Applicants Offered. 
2009,Nun & Bed,Nicholas Chamberlaine Technology College,300,288,All Applicants Offered. 
2009,Nun & Bed,St. Thomas More Catholic School and Technology College,156,156,Places Allocated according to Schools Criteria. Contact School for details.
2009,East,Ashlawn School (Non-Selective),226,226,"All On Time Applicants in criteria 1, 2, 3, 4 and 5 to a distance of 1.569"
2009,East,The Avon Valley School and Performing Arts College,220,220,"All On Time Applicants in criteria 1, 2, 3, 4 and 5 to a distance of 1.341"
2009,East,Bilton School a Maths and Computing College,285,218,All Applicants Offered. 
2009,East,Harris School,157,182,Places Allocated according to Schools Criteria. Contact School for details.
2009,Central,Aylesford School and Language College,206,197,All Applicants Offered. 
2009,Central,Campion School,155,116,All Applicants Offered. 
2009,Central,Kenilworth School and Sports College,270,270,"All On Time Applicants in criteria 1, 2, 3, 4 and 5 to a distance of 2.935"
2009,Central,Myton School,266,289,"All On Time Applicants in criteria 1, 2, 3, and 4. "
2009,Central,North Leamington Community School and Arts College,285,186,All Applicants Offered. 
2009,Central,Southam College,200,210,"All On Time Applicants in criteria 1, 2, 3, 4 and 5 to a distance of 9.580"
2009,Central,The Trinity Catholic School A Specialist and Technology College,210,210,Places Allocated according to Schools Criteria. Contact School for details.
2009,South,Alcester High School Technology College,174,174,All Applicants Offered.  
2009,South,Henley-in-Arden High School A Specialist School for the Performing Arts,123,123,"All On Time Applicants in criteria 1, 2, 3, 4 and 5 to a distance of 5.405"
2009,South,Kineton High School A Specialist Sports College,185,178,All Applicants Offered. 
2009,South,Shipston High School A Specialist Technology College,77,93,All Applicants Offered  
2009,South,St. Benedict's Catholic High School,106,106,Places Allocated according to Schools Criteria. Contact School for details.
2009,South,Stratford-Upon-Avon High School A Maths and Computing Specialist School,265,265,"All On Time Applicants in criteria 1, 2, 3, 4 and 5 to a distance of 7.465"
2009,South,Studley High School ,150,150,All Applicants Offered. 
