Estab,School Name,Type,Phase,Education Area,District Area,2008,2009,2010
3563,St. Marie's Catholic Infant School,Infant,Primary,Eastern,Rugby,12.5,10.8,13.3
3562,St. Marie's Catholic Junior School,Junior,Primary,Eastern,Rugby,11.5,8.6,13.3
3545,St. Mary Immaculate Catholic Primary School,Primary,Primary,Central,Warwick,32.9,26.4,27.8
3508,"St. Mary's Catholic Primary School, Henley in Arden",Primary,Primary,Southern,Stratford on Avon,5.3,15.6,22.5
3505,"St. Mary's Catholic Primary School, Southam",Primary,Primary,Central,Stratford on Avon,3,7.1,3.7
3507,"St. Mary's Catholic Primary School, Studley",Primary,Primary,Southern,Stratford on Avon,5.5,6.2,2.7
3213,St. Matthew's Bloxam C.Of E. Primary School,Primary,Primary,Eastern,Rugby,17.6,26,28
2641,St. Michael's C.Of E. Primary School,Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,30.2,33.8,40.7
3595,"St. Nicholas' C. Of E. Primary School, Alcester",Primary,Primary,Southern,Stratford on Avon,14.2,14.7,18.6
3146,"St. Nicholas C.Of E. Primary School, Kenilworth",Primary,Primary,Central,Warwick,6.2,9.1,8.1
3592,St. Nicolas C.Of E. (Voluntary Aided) Primary School,Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,0,0.4,0.9
3206,St. Oswald's C.Of E. Primary School,Primary,Primary,Eastern,Rugby,22.4,24.1,21
3543,St. Patrick's Catholic Primary School,Primary,Primary,Central,Warwick,29.3,25.5,34.1
3371,"St. Paul's C.Of E. Primary School, Leamington Spa",Primary,Primary,Central,Warwick,16,19.2,16.9
3106,"St. Paul's C.Of E. Primary School, Nuneaton",Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,5.8,9.4,10.3
3542,St. Peter's Catholic Primary School,Primary,Primary,Central,Warwick,5.6,2.8,1.8
4803,St. Thomas More Catholic School and Technology College,Secondary,Secondary,Nuneaton & Bedworth,Nuneaton and Bedworth,6.5,6.4,6.4
1041,Stockingford Early Years Centre,Nursery,Nursery,Nuneaton & Bedworth,Nuneaton and Bedworth,0,0,0
2121,Stockingford Infant School,Infant,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,23.7,27.9,32.7
2120,Stockingford Junior School,Junior,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,17.8,21.8,32.1
2049,Stockton Primary School,Primary,Primary,Central,Stratford on Avon,1,2.2,2.9
4002,Stratford-upon-Avon Grammar School for Girls A Specialist College for Language and Science,Secondary,Secondary,Southern,Stratford on Avon,0.7,0.5,0.8
4124,"Stratford-upon-Avon High School, A Maths and Computing Specialist College",Secondary,Secondary,Southern,Stratford on Avon,7.1,7.3,6.8
2050,Stratford-upon-Avon Primary School,Primary,Primary,Southern,Stratford on Avon,1.8,2.3,4.2
5408,"Studley High School, Humanities and Music College",Secondary,Secondary,Southern,Stratford on Avon,4.5,4.6,5.2
2055,Studley Infant School,Infant,Primary,Southern,Stratford on Avon,8,10.1,16.4
3310,Studley St. Mary's C.Of E. Junior School,Junior,Primary,Southern,Stratford on Avon,7.4,7.4,8.2
2622,Sydenham Primary School,Primary,Primary,Central,Warwick,22.9,21.6,26.4
3311,Tanworth-In-Arden C.Of E. Primary School,Primary,Primary,Southern,Stratford on Avon,0.5,0,2.7
2326,Telford Infant School,Infant,Primary,Central,Warwick,4.9,5,4.5
2315,Telford Junior School,Junior,Primary,Central,Warwick,5,5.3,5.8
3066,Temple Grafton C.Of E. Primary School,Primary,Primary,Southern,Stratford on Avon,1.9,1.9,3.9
2610,Temple Herdewyke Primary School,Primary,Primary,Southern,Stratford on Avon,1.4,9.2,7.8
5400,The Avon Valley School and Performing Arts College,Secondary,Secondary,Eastern,Rugby,12.6,12.1,11.5
4233,The Coleshill School - a Maths and Computing College,Secondary,Secondary,North Warwickshire,North Warwickshire,5.7,6.9,8
