ESTAB,School Name,Type,Phase,Education Area,District,2006_07_Total absence_4half_terms ,2007_08_Total absence_4half_terms ,2008_09_Total absence_4half_terms ,2006_07_Persistent_ absence_4half_terms ,2007_08_Persistent_ absence_4half_terms ,2007_08_Persistent_ absence_4half_terms 
4620,Lawrence Sheriff School,Secondary,Secondary,Eastern,Rugby,4.5,5,4.9,0.8,0.6,1.2
3180,Leamington Hastings C.Of E. Infant School,Infant,Primary,Eastern,Rugby,3.9,4.5,3.9,0,0,3.7
2064,Lighthorne Heath Primary School,Primary,Primary,Southern,Stratford upon Avon,5.4,7.1,5.3,0,3.6,3.8
2621,Lillington Nursery and Primary School,Primary,Primary,Central,Warwick,6.2,5.2,6.1,3.6,1.6,1.7
3211,Long Itchington Primary School,Primary,Primary,Central,Stratford upon Avon,4.7,4.9,4.5,0.7,0,1.5
2405,Long Lawford Primary School,Primary,Primary,Eastern,Rugby,4.9,5,5.6,0.6,0.6,1.3
3040,Loxley C.Of E. Community Primary School,Primary,Primary,Southern,Stratford upon Avon,2.7,3.6,4.2,0,0,0
4154,Manor Park Community School and Specialist Arts College,Secondary,Secondary,Nuneaton & Bedworth,Nuneaton and Bedworth,11.2,10.9,10.6,14.7,13.9,12.2
3041,Mappleborough Green C.Of E. Primary School,Primary,Primary,Southern,Stratford upon Avon,5.3,4.2,4.1,0,1,0
2028,Michael Drayton Junior School,Junior,Primary,North Warwickshire,North Warwickshire,5.6,5.1,5,2.6,2.6,2.1
5202,Middlemarch School,Junior,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,5.7,5.5,6,2.3,4.3,2.9
2631,Milby Primary School,Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,4.5,4.2,3.9,0.8,0.3,0.3
2606,Milverton Primary School,Primary,Primary,Central,Warwick,4.4,4.4,3.9,1.1,0.4,0
5205,Moreton Morrell C Of E Primary School,Primary,Primary,Southern,Stratford upon Avon,3.1,3.8,3.6,0,0,0
5403,Myton School A Specialist Science College and Training School,Secondary,Secondary,Central,Warwick,6.8,6.3,6.3,4.6,4.7,4.2
2029,Nathaniel Newton Infant School,Infant,Primary,North Warwickshire,North Warwickshire,6.3,5.8,5.6,3,4.3,3.5
3214,Newbold And Tredington C.Of E. Primary School,Primary,Primary,Southern,Stratford upon Avon,4.4,5.2,5.2,1.1,2.4,4
2627,Newbold Riverside Primary School,Primary,Primary,Eastern,Rugby,7.4,5.7,5.6,6.6,3.1,3.5
2325,Newburgh Primary School,Primary,Primary,Central,Warwick,4.1,3.8,3.8,0.8,0,0
2633,Newdigate Primary School and Nursery,Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,4.6,5.1,5.3,1.6,4.3,2.2
3047,Newton Regis C.Of E. Primary School,Primary,Primary,North Warwickshire,North Warwickshire,5,5.9,7.4,3,2,6.7
4103,Nicholas Chamberlaine Technology College,Secondary,Secondary,Nuneaton & Bedworth,Nuneaton and Bedworth,7.5,6.9,7.1,5.6,5.7,6.8
4237,North Leamington School,Secondary,Secondary,Central,Warwick,9.3,6.9,7.4,8,5.2,6.2
2417,Northlands Primary School,Primary,Primary,Eastern,Rugby,5.4,6.3,7.4,4.8,4.3,7.1
2001,Nursery Hill Primary School,Primary,Primary,North Warwickshire,North Warwickshire,5.1,5,6.4,1.8,1.7,3.7
7002,Oak Wood Primary School,Special,Special,Nuneaton & Bedworth,Nuneaton and Bedworth,,,,,,
7046,Oak Wood Secondary School,Special,Special,Nuneaton & Bedworth,Nuneaton and Bedworth,,,,,,
2577,Oakfield Junior School,Junior,Primary,North Warwickshire,North Warwickshire,5.3,5.3,5.9,2.4,3.6,1.1
2419,Oakfield Primary School,Primary,Primary,Eastern,Rugby,11.9,7.6,9.4,12.8,6,11.3
3546,Our Lady & St. Teresa's Catholic Primary School,Primary,Primary,Central,Warwick,7.3,5.2,4.2,6.6,2.7,1
3520,Our Lady Of The Angels Catholic Infant School,Infant,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,5.3,5.1,6.5,2.8,1.5,3.6
3500,"Our Lady's Catholic Primary School, Alcester",Primary,Primary,Southern,Stratford upon Avon,4.2,4.1,5.7,0,0,0
3561,"Our Lady's Catholic Primary School, Princethorpe",Primary,Primary,Eastern,Rugby,4.1,4.4,4.2,1,2.1,0
2625,Paddox Primary School,Primary,Primary,Eastern,Rugby,3.7,3.2,3.2,0,0.3,0.3
2309,Park Hill Junior School,Junior,Primary,Central,Warwick,3.4,3.8,3.1,0.4,0.8,0
2636,Park Lane Primary School,Primary,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,6.1,5.9,7.2,3.1,3.2,4.4
4112,Polesworth International Language College,Secondary,Secondary,North Warwickshire,North Warwickshire,6.2,6.2,5.9,3.8,4.5,3.6
2605,Priors Field Primary School,Primary,Primary,Central,Warwick,3.4,4.1,4,0,0.5,0.5
3212,Provost Williams C.Of E. Primary School,Primary,Primary,Eastern,Rugby,3.2,3.6,3.2,0,1.3,0
5404,Queen Elizabeth School and Sports College,Secondary,Secondary,North Warwickshire,North Warwickshire,9.2,8,8.1,9.2,7.6,6.5
3200,Queen's C.Of E. Junior School,Junior,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,4.5,6.8,7,1.2,7,4.6
2043,Quinton Primary School,Primary,Primary,Southern,Stratford upon Avon,4.5,4.7,5.8,2.4,3.1,3.6
2614,Race Leys Infant School,Infant,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,4.7,5.2,4.6,2.2,1.6,0.9
2615,Race Leys Junior School,Junior,Primary,Nuneaton & Bedworth,Nuneaton and Bedworth,6,4.9,5.5,2.3,1.9,2.4
2617,Racemeadow Primary School,Primary,Primary,North Warwickshire,North Warwickshire,6.3,4.5,5.8,2.9,2.3,2
3152,Radford Semele C.Of E. Primary School,Primary,Primary,Central,Warwick,5.1,4.2,5.9,3.1,0,2
7028,Ridgeway School,Special,Special,Central,Warwick,,,,,,
7001,River House School,Special,Special,Southern,Stratford upon Avon,,,,,,
3597,Rokeby Primary School,Primary,Primary,Eastern,Rugby,,5.2,5.9,,3,4.4
7030,Round Oak School And Support Service,Special,Special,Central,Warwick,,,,,,
5406,Rugby High School,Secondary,Secondary,Eastern,Rugby,4.7,4.5,5.8,1.9,2.1,1.5
3056,Salford Priors C.Of E. Primary School,Primary,Primary,Southern,Stratford upon Avon,4.2,2.9,4.5,1.1,0,0
4113,"Shipston High School, a Specialist Technology College",Secondary,Secondary,Southern,Stratford upon Avon,9.2,7.4,6.8,8.7,7.4,4.2
5206,Shipston Primary School,Primary,Primary,Southern,Stratford upon Avon,4.6,5.4,3.8,1.1,1.4,0.7
3057,Shottery St. Andrew's C.Of E. Primary School,Primary,Primary,Southern,Stratford upon Avon,4.3,4.4,4.4,3.2,0,0
2637,Shrubland Street Community Primary School,Primary,Primary,Central,Warwick,7.3,5.6,7.5,7.8,2.3,4.3
