ESTAB,School name,District,Education Area,Type,Phase,2008 Information Not Yet Obtained,2008 Any Other Asian Background,2008 Any Other Black Background,2008 Any Other Ethnic Group,2008 Any Other Mixed Background,2008 Any Other White Background,2008 Bangladeshi,2008 Black - African,2008 Black Caribbean,2008 Chinese,2008 Gypsy / Roma,2008 Indian,2008 Pakistani,2008 Refused,2008 Traveller of Irish Heritage,2008 White - British,2008 White - Irish,2008 White and Asian,2008 White and Black African,2008 White and Black Caribbean,2009 Information Not Yet Obtained,2009 Any Other Asian Background,2009 Any Other Black Background,2009 Any Other Ethnic Group,2009 Any Other Mixed Background,2009 Any Other White Background,2009 Bangladeshi,2009 Black - African,2009 Black Caribbean,2009 Chinese,2009 Gypsy / Roma,2009 Indian,2009 Pakistani,2009 Refused,2009 Traveller of Irish Heritage,2009 White - British,2009 White - Irish,2009 White and Asian,2009 White and Black African,2009 White and Black Caribbean,2010 Information Not Yet Obtained,2010 Any Other Asian Background,2010 Any Other Black Background,2010 Any Other Ethnic Group,2010 Any Other Mixed Background,2010 Any Other White Background,2010 Bangladeshi,2010 Black - African,2010 Black Caribbean,2010 Chinese,2010 Gypsy / Roma,2010 Indian,2010 Pakistani,2010 Refused,2010 Traveller of Irish Heritage,2010 White - British,2010 White - Irish,2010 White and Asian,2010 White and Black African,2010 White and Black Caribbean
2014,Bishops Itchington Primary School,Stratford on Avon,Central,Primary,Primary,0,0,0,0,0.7,0.7,0,0,0,0,0,0,0,1.3,0,96.7,0,0.7,0,0,0,0,0,0,0,0.7,0,0,0,0,0,0,0,0.7,0,97.2,0,1.4,0,0,0,0,0,0,0,1.6,0,0,0,0,0,0,0,0,0,98.4,0,0,0,0
2017,Claverdon Primary School,Stratford on Avon,Southern,Primary,Primary,0,1.1,0,0,0.5,1.1,0,0,0,0,0,0,0,0,0,94.6,0.5,0,0,2.2,0,1.1,0,1.1,1.1,0.6,0,0,0,0,0,0,0,0,0,94.3,0.6,0,0,1.1,0,1.1,0,0,0.5,3.2,0,0,0,0,0,0,0,0,0,92,1.1,0,1.1,1.1
2018,Dordon Community Primary School,North Warwickshire,North Warwickshire,Primary,Primary,0,0.7,0,0,2.9,0.7,0,0,0,0,0,0.7,0,0,0,91.2,0.7,0,1.5,1.5,0,0.9,0,0,3.7,0.9,0,0,0,0,0,0,0,0,0,90.7,0.9,0,0.9,1.9,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,93.1,1,0,1,1
2021,Wheelwright Lane Primary School,Nuneaton and Bedworth,Nuneaton & Bedworth,Primary,Primary,0.4,2.5,0,0.8,0,0.4,0,0.8,0,0,1.2,5.3,0,1.2,0,86.4,0,0.4,0,0.4,0,2.9,0,0.4,0,0.4,0.4,1.3,0,0,1.7,5.4,0.8,0.4,0,84.9,0,0.8,0,0.4,0,0,0,0.4,0,1.2,0.4,0.8,0,0,2,10.6,0.8,0.8,0,82.4,0,0.4,0,0
2024,Great Alne Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98.3,0.9,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99.1,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97.4,0.9,1.8,0,0
2028,Michael Drayton Junior School,North Warwickshire,North Warwickshire,Junior,Primary,0,0.2,0.2,0,1.1,1.5,0,0.2,0,0,0,0.2,0,0,0,95.8,0,0.2,0,0.4,0,0,0.2,0.2,1.3,0.9,0,0,0,0,0,0,0,0,0,96.3,0,0.2,0,0.9,0,0,0.2,0.7,1.1,0.7,0,0.2,0,0,0,0.2,0,0.4,0,96,0,0,0,0.4
2029,Nathaniel Newton Infant School,North Warwickshire,North Warwickshire,Infant,Primary,0,0.6,0.6,0.6,0,1.8,0,0,0,0,0,0,0,2.4,0,93.5,0,0,0,0.6,0,1.2,0.6,0.6,0.6,1.2,0,0,0,0,0,0,0,2.3,0,93.6,0,0,0,0,0,0.6,0.6,0,1.1,1.7,0,0,0,0,0,0,0,1.1,0,95,0,0,0,0
2031,Henley-In-Arden Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0,0,0,3,0,0,1.8,0,0,0,0,0,0,93.3,1.2,0,0,0.6,0,0.6,0,0.6,0,1.1,0,0,0.6,0,0,0,0,0,0,95.4,0.6,0.6,0,0.6,16.5,1.1,0,0,0,0.5,0,0,0.5,0,0,0,0,0,0,80.8,0,0.5,0,0
2032,Hurley Primary School,North Warwickshire,North Warwickshire,Primary,Primary,0.8,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,98.4,0,0,0,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,98.5,0,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,96.7,0,0,0,0
2043,Quinton Primary School,Stratford on Avon,Southern,Primary,Primary,0,2.2,0,0,2.2,2.2,0,0,0,0,0,2.2,0,0,0,87.6,0,2.2,0,1.1,0,1.4,0,0,2.7,1.4,0,0,0,0,0,2.7,0,0,0,86.5,0,2.7,1.4,1.4,0,1.4,0,0,4.2,2.8,0,0,0,0,0,2.8,0,0,0,83.3,0,4.2,0,1.4
2046,Snitterfield Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0,0,0,2.9,0,0,0,0,1,0,0,4.9,0,90.2,0,1,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,4,0,91,0,1,0,0,0,0,0,0,0,2.1,0,0,0,0,0,0,0,4.3,0,91.5,0,2.1,0,0
2049,Stockton Primary School,Stratford on Avon,Central,Primary,Primary,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,99,0,0,0,0,0,0,0,0,3.3,0,0,0,0,0,0,0,0,0,0,96.7,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,94.1,0,0,0,2
2050,Stratford-upon-Avon Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0,0,2.3,5.1,0,0,0,0,0,0,0,0,0,88,0,3.7,0.5,0.5,0,0,0,0,2.3,5.6,0,0,0,0.5,0,0,0,0,0,87.9,0,2.8,0.5,0.5,0,0.5,0,0,1.9,4.6,0,0,0,0.9,0,0,0,0,0,89.4,0,2.8,0,0
2052,Thomas Jolyffe Primary School,Stratford on Avon,Southern,Primary,Primary,0.7,0.2,0,0,1,8.7,0,0.2,0,0.5,0.2,0.7,0.2,0.7,0,84.1,0.2,1.7,0.2,0.2,2.3,0,0,0,1,9.5,0,0.3,0,0.3,0,0.3,0,0.5,0,83.7,0.3,1.5,0.3,0.3,0.5,0.3,0,0,0.8,9.6,0,0.3,0,0.5,0,1,0.8,0.3,0,83.4,0.3,1.8,0.5,0
2053,Bridge Town Primary School,Stratford on Avon,Southern,Primary,Primary,0,0,0,1,1,5.9,0,0,0,0.7,0,2,0,4.6,0,82.4,1.3,0.7,0,0.7,0,0,0,1,2.3,5.2,0,0,0,0.3,0,1.9,0.3,3.9,0,81.9,1.3,0.6,0,1.3,0,0.3,0,1.3,2.3,6.2,0,0,0,0.3,0,1,0,3.2,0,81.8,1.6,0.6,0,1.3
2055,Studley Infant School,Stratford on Avon,Southern,Infant,Primary,0,0,0,0,0.4,3.1,0,0,0,0,0,0.9,2.7,0,0,90.2,0,0.4,0.4,1.8,0,0,0,0,1.4,0.9,0,0,0,0,0,0.5,2.3,0,0,92.8,0,0.5,0.5,1.4,0,0.4,0,0,0,0,0,0,0,0,0,0.4,1.7,0,0,96.1,0.4,0,0.4,0.4
